subjectId,randCondNum,validationRadio,subjectValidation1,expTime_min,minRespTime_sec,iwould_large,iwould_small,iexpectOther_large,iexpectOther_small,dem_gender,dem_language,val_recognized,val_familiar,val_feedback,Data_Set,HITID,val0(7510),val1(disdain),val2(jealousy),val3(AF25HAS),val4(steal),val5(pia2_D_a2_C),val6(pia2_D_a2_C),Excluded,Notes
8b8fb3152129c57d25d80a458ff74458c9d434112d3b75e14a4218b3,138,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,32.53023333,62.428,0,-1,-1,-2,male,English,No,I understood and was familiar with all of them,No thank you,10.1,3I7SHAD35NWISEPM2EPG90R0YK97MT,,,,,,pia2_C_a2_C,null,0,
8247a87f598b54b55f572fedd666e667701717fa071d7ef2c710c5fb,131,[7510  satisfaction  jealousy  AF25HAS  split  pia2_C_a2_C],0,14.27256667,31.225,-1,-1,-3,-3,,english,nope,yes  fury would be the least,none,10.1,3I7SHAD35NWISEPM2EPG90R0YK97MT,,satisfaction,,,split,pia2_C_a2_C,null,0,
5bf9d4ddd32d317cc097feebb0d6b694d3eb6749667b3a0118f91106,34,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,23.48711667,47.232,0,1,2,2,male,English,I recognized the game show but none of the contestants. ,I-m familiar with all of those emotions. I-d say fury was the hardest to classify definitively.,,10.1,3I7SHAD35NWISEPM2EPG90R0YK97MT,,,,,,,null,0,
55a37701887449205b402845b4b1d1427f991499d4798008d9265926,148,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,22.58241667,51.2,-1,-1,-2,-3,male,English,I did NOT recognize any of the videos or images,I understood ALL of the emotion labels.  I was least familiar with fury.,Thanks for the opportunity to participate and good luck with your research!,10.1,3I7SHAD35NWISEPM2EPG90R0YK97MT,,,,,,,null,0,
d31fbb55c8ced11f685f62f66e25e801a1f88ebbcfa314eeac6837d7,106,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,10.31701667,16.37,1,1,-2,-2,male,English ,no,I understood all but am least familiar with contempt if I had to choose one. ,Good survey! ,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
547b0b3347ee1adb7057afd5b271fb8533d2f2ee2275f0f2b62a69f9,39,[76230  satisfaction  apprehension  AF25HAS  split  pia2_C_a2_D],0,11.7552,14.029,-1,1,-3,3,male,English,No,Excitement,Its very interesting i would like it,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,76230,satisfaction,apprehension,,split,pia2_C_a2_D,null,0,
acb436752599d44d6af0caaadde116cab9a1a6a5d349f2ed69e12887,97,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,14.54183333,34.912,1,1,-2,2,female,,no,least familiar with contempt,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
e57c024a8aea4d284aa41b348b7b8f2f69ed747a9463057d9a93796e,128,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,12.39738333,22.515,-1,-1,-2,-2,female,english,no,Iknew all the emotions,none,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
6b60d507aa4b27b43d44d22c813f8fff2f17477ea7fb8a5a3b49d89c,68,[7510  disdain  jealousy  AF25HAS  split  pia2_C_a2_C],0,18.71771667,51,-1,-1,-3,-3,male,,no,yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,split,pia2_C_a2_C,null,0,
90fc540dfb91cee8d68c606a9aacd6fcdf99d96444a4641577be1cbb,86,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,17.9352,29.528,0,-1,-1,-3,male,English,No,Yes I understood all the emotions,None,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
