stimulus,pronoun,desc,decisionThis,pot,respTimer,q_bMoney_Array,q_bAIA_Array,q_bDIA_Array,q_rMoney_Array,q_rAIA_Array,q_rDIA_Array,BTS_actual_otherDecisionConfidence,gender,subjectId,Data_Set,HITID
244_2,she,Customer service assistant,Stole,1090,38.72,48,0,42,18,0,24,4,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
255_2,he,CEO of a global health non-profit,Stole,162030,22.078,48,0,48,0,0,33,5,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
249_2,she,Retired waitress,Split,84700,26.386,24,33,24,33,48,7,0,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
240_1,he,Pursuing a career in rap music,Stole,140800,19.349,48,0,48,0,0,48,1,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
256_2,she,Swimming coach,Split,10300,22.803,27,33,33,31,48,48,1,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
272_2,he,Software engineer at Google,Stole,33560,24.763,48,0,48,0,7,48,2,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
239_1,he,Hospital nurse,Stole,48650,35.332,48,0,48,17,7,24,0,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
246_1,she,Corporate lawyer,Split,19100,30.221,48,0,48,32,16,48,0,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
280_1,she,Stock broker at an investment firm,Split,67380,23.959,48,0,48,0,35,48,2,male,0b959e5c454d164f16232af3f0352ca854e13fa6e76b832bb4938506,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
244_2,she,Customer service assistant,Stole,1090,52.575,48,0,47,8,24,47,4,female,5dd416a952b7f821767cea9e3478bbe39cef24afc1f39773abd9e1e2,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
281_1,he,Executive of a petroleum energy company,Split,84700,51.44,40,7,41,40,40,48,1,female,5dd416a952b7f821767cea9e3478bbe39cef24afc1f39773abd9e1e2,9.1,3EAWOID6MUXN0QJBV75YHH0QHJX0VP
