Variable,Data included in analyses,Data Type,Description
stimulus,Yes,IV,Photo of the player
pronoun,No,IV,Pronoun of the player
desc,No,IV,Descripton of the player
decisionThis,Yes,IV,Decision of the focal player
pot,Yes,IV,Size of the jackpot
respTimer,No,DV,Time participant took in responding to a trial (seconds)
q_bMoney_Array,Yes,DV,omega^base_Money - focal player's preference
q_bAIA_Array,Yes,DV,omega^base_AIA - focal player's preference
q_bDIA_Array,Yes,DV,omega^base_DIA - focal player's preference
q_rMoney_Array,Yes,DV,omega^repu_Money - focal player's preference
q_rAIA_Array,Yes,DV,omega^repu_AIA - focal player's preference
q_rDIA_Array,Yes,DV,omega^repu_DIA - focal player's preference
BTS_actual_otherDecisionConfidence,Yes,DV,pi_a_2 - focal player's belief about opponent's intended action
gender,No,Participant-level response - choice from array,«What is your gender?»
subjectId,Yes,Participant-level data - generated by experiment webapp,Participant identifier
Data_Set,Yes,Participant-level data - generated by experiment webapp,Experiment tracking
HITID,Yes,Participant-level data - generated by experiment webapp,mTurk HIT Id
