stimulus,pronoun,desc,decisionThis,decisionOther,pot,respTimer,e_amusement,e_annoyance,e_confusion,e_contempt,e_devastation,e_disappointment,e_disgust,e_embarrassment,e_envy,e_excitement,e_fury,e_gratitude,e_guilt,e_joy,e_pride,e_regret,e_relief,e_respect,e_surprise,e_sympathy,gender,subjectId,Data_Set,HITID
244_2,this person,,Stole,Split,1090,28.936,11,6,4,28,5,4,3,29,3,3,9,4,32,9,19,13,2,3,5,21,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Split,Split,27293,37.458,10,2,6,16,6,25,7,4,8,13,7,33,13,17,2,6,25,33,16,3,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Split,Split,694,23.482,15,5,6,14,1,3,1,5,1,12,4,27,5,15,3,2,38,3,7,3,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Stole,Split,138238,25.577,4,3,25,32,11,1,3,30,3,4,0,3,27,0,3,27,15,1,25,18,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Stole,124,18.291,5,35,4,25,4,34,5,31,6,4,5,4,4,3,4,4,5,4,28,5,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Stole,61430,20.721,18,28,3,2,27,38,28,3,6,5,29,4,4,5,18,28,3,4,4,1,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Stole,1582,17.465,3,24,3,2,33,44,0,1,1,3,2,2,21,3,3,28,3,4,2,2,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Stole,12121,14.482,3,27,2,26,2,31,23,27,7,0,2,2,27,1,0,2,2,0,2,1,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Stole,Split,5378,13.875,23,2,2,33,2,3,2,3,3,3,17,4,26,2,3,2,2,2,2,2,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,80.472,34,0,0,0,0,0,0,33,0,48,0,33,34,38,0,30,35,0,48,30,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Split,138238,46.282,36,0,0,0,0,0,0,0,0,36,0,48,0,48,36,0,48,48,38,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Stole,1582,70.696,0,48,0,27,48,48,34,34,0,0,27,0,0,0,0,0,0,0,37,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Stole,124,54.928,0,48,0,39,37,48,37,0,39,0,37,0,0,0,0,37,0,0,32,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Split,694,58.131,35,0,0,0,0,0,0,35,0,36,0,31,36,48,0,29,39,0,39,31,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Split,27293,54.364,48,0,0,0,0,0,0,30,0,48,0,48,31,48,0,0,48,0,48,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Stole,61430,63.446,0,48,0,48,48,48,32,48,0,0,39,0,0,0,0,48,0,0,31,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Split,5378,34.063,48,0,0,0,0,0,0,0,0,48,0,48,0,48,48,0,48,48,48,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Stole,12121,49.912,0,48,0,48,48,48,48,31,48,0,48,0,0,0,24,48,0,0,19,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,33.947,38,21,2,39,2,1,30,2,8,39,17,3,7,32,24,2,23,5,7,2,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Split,Stole,124,31.836,12,5,17,4,8,6,6,37,20,13,3,23,4,13,34,20,37,34,22,40,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Split,Split,138238,33.509,24,38,20,31,9,15,27,20,35,32,11,29,13,16,24,16,24,34,27,19,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Split,Split,5378,23.578,17,23,27,14,17,17,19,33,35,18,18,27,19,16,34,12,35,35,31,33,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Stole,Stole,1582,27.156,4,37,38,39,29,32,33,23,15,14,30,0,15,3,3,32,16,3,32,30,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Stole,Split,27293,32.095,11,25,30,24,33,27,36,19,24,11,13,11,33,12,9,21,20,4,13,4,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Split,Stole,12121,29.436,14,29,14,21,24,32,16,24,24,24,19,23,16,12,34,24,24,34,25,24,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Stole,Stole,61430,33.188,7,48,21,48,36,12,38,34,24,8,17,3,13,7,3,32,14,2,12,0,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Stole,Split,694,27.934,35,17,6,29,10,0,27,13,20,37,11,8,10,36,38,0,31,23,14,26,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,16.085,17,18,16,18,30,31,19,23,21,21,34,24,29,32,31,17,28,29,28,31,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Split,12121,16.866,22,18,21,19,28,27,23,18,19,21,29,20,27,29,32,20,31,28,29,29,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Split,Stole,138238,17.641,22,22,21,18,29,28,19,21,21,17,28,22,29,30,31,19,30,28,29,29,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
