stimulus,randStimulusFace,decisionThis,decisionOther,pot,q1responseArray,q2responseArray,q3responseArray,BTS_actual_otherDecisionConfidence,gender,subjectId,Data_Set,HITID
279_1,283_1,Split,Split,269.5,33,26,25,1,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
288_2,250_1,Stole,Stole,15744.5,28,19,30,2,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
254_1,268_1,Split,Split,130884,24,31,31,4,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_2,279_1,Split,Stole,310,40,31,30,5,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
272_1,286_1,Split,Stole,81899,23,32,28,0,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_2,287_1,Split,Split,269.5,33,27,27,2,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_1,276_1,Stole,Split,310,24,33,34,3,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
273_1,272_1,Split,Split,9675,35,31,26,1,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
266_1,244_1,Stole,Stole,6559,22,31,31,3,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
245_1,285_1,Stole,Stole,5958,17,31,27,2,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
248_1,275_1,Split,Stole,31403,28,27,24,4,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
242_2,288_1,Stole,Split,1283.5,23,32,30,3,male,b16e8413452a2bc7b7c89fc490d7c3bc2bf4b4350ab922dc7c996bdc,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
266_1,250_1,Stole,Stole,6559,44,24,39,4,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
273_1,275_1,Split,Split,9675,17,24,21,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
248_1,279_1,Split,Stole,31403,33,18,28,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_1,288_1,Split,Split,269.5,27,20,34,4,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_2,283_1,Split,Split,269.5,26,31,20,2,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_1,286_1,Stole,Split,310,22,32,18,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
254_1,272_1,Split,Split,130884,16,30,20,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
242_2,244_1,Stole,Split,1283.5,23,29,24,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
272_1,276_1,Split,Stole,81899,28,22,28,2,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_2,285_1,Split,Stole,310,27,25,29,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
245_1,287_1,Stole,Stole,5958,22,25,27,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
288_2,268_1,Stole,Stole,15744.5,20,29,32,3,female,e2e3b442fdd5afea5dff6f7d8bd466235432290ddb7c297327b3deb6,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_1,275_1,Stole,Split,310,48,15,24,2,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
248_1,244_1,Split,Stole,31403,48,0,36,4,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
245_1,272_1,Stole,Stole,5958,48,31,15,1,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
242_2,276_1,Stole,Split,1283.5,48,48,48,0,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_2,285_1,Split,Stole,310,48,0,48,3,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_2,268_1,Split,Split,269.5,48,27,34,2,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
288_2,283_1,Stole,Stole,15744.5,48,15,32,1,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
272_1,250_1,Split,Stole,81899,48,48,33,1,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_1,288_1,Split,Split,269.5,48,0,48,5,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
254_1,287_1,Split,Split,130884,48,16,35,4,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
266_1,279_1,Stole,Stole,6559,48,48,16,1,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
273_1,286_1,Split,Split,9675,48,0,48,5,female,4c4448beb25ec9b65fb48be8b7b04db940b4aff1143b1a7f96bfd709,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
273_1,275_1,Split,Split,9675,30,29,28,3,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_2,287_1,Split,Split,269.5,15,15,15,1,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_1,285_1,Stole,Split,310,41,41,41,5,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_1,244_1,Split,Split,269.5,29,30,31,1,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
254_1,288_1,Split,Split,130884,37,11,36,0,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
266_1,283_1,Stole,Stole,6559,46,41,17,1,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
252_2,286_1,Split,Stole,310,36,8,30,0,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
245_1,276_1,Stole,Stole,5958,48,10,28,0,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
248_1,250_1,Split,Stole,31403,48,16,33,0,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
242_2,279_1,Stole,Split,1283.5,31,34,28,1,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
272_1,272_1,Split,Stole,81899,36,8,34,1,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
288_2,268_1,Stole,Stole,15744.5,40,12,41,0,male,5f10065042aa743e875aecb7d71f772a4af035c904874e960fc4ae6f,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
266_1,285_1,Stole,Stole,6559,46,1,46,0,female,6abd1f81873f96136185431c60282855cc62a49f0564daa72ff12e4b,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
245_1,244_1,Stole,Stole,5958,45,2,46,1,female,6abd1f81873f96136185431c60282855cc62a49f0564daa72ff12e4b,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
254_1,283_1,Split,Split,130884,23,34,19,1,female,6abd1f81873f96136185431c60282855cc62a49f0564daa72ff12e4b,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
272_1,276_1,Split,Stole,81899,33,32,18,1,female,6abd1f81873f96136185431c60282855cc62a49f0564daa72ff12e4b,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
248_1,275_1,Split,Stole,31403,24,30,16,1,female,6abd1f81873f96136185431c60282855cc62a49f0564daa72ff12e4b,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
279_1,268_1,Split,Split,269.5,18,33,18,1,female,6abd1f81873f96136185431c60282855cc62a49f0564daa72ff12e4b,6.1,3UDTAB6HH6HNQ88DD82NVZKLAXD90Y
