subjectId,randCondNum,validationRadio,subjectValidation1,expTime,minRespTime,iwould_large,iwould_small,iexpectOther_large,iexpectOther_small,dem_gender,dem_language,val_recognized,val_familiar,val_feedback,Data_Set,HITID,Excluded,Notes
2632c55c47a1253702f3d6676d0a48a84ce0c887849bf338a9960b7a,0,[7510 disdain respect AF25HAS steal],0,,,,,,,male,English,No,Yes,Enjoyable and fun!,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
8576469eaa97d863f54c3324f158571dabbff9622c2d001a11db051b,1,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,English,No.,Yes.,No.,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
0a7724256b6581ef32f12d319be9498f3ab153600a5f5525cc846ff6,2,[7510 disdain jealousy AF25HAS steal],1,,,,,,,female,English,No,I understood them all,This game looks incredibly toxic and shame on anyone who tried to steal. People are sick and selfish. Seriously  shame on people.,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
22a7747b7cddaa98558efd2cbcfd3a6dfc5c728cb0612b9c47129cca,5,[7510 disdain jealousy AF25HAS split],0,,,,,,,male,english,no,yes,no,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
5bf5dc965d4cb9a11770f2764a22093d50ef20da724b6c626125e1b3,4,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,English,no,yes,n/a,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
3a1ab9cf07af7f8e51749208e13e349b37b04db40ff24b6c61f1f1de,6,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,English,no,I understood,,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
839a93bbd73219209f6e062239f99447dc1aed4249e76552d57b50a5,10,[7510 satisfaction jealousy AF25HAS split],0,,,,,,,male,ENGLISH,NO,YES,THANKS FOR THE SURVEY,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
787ff14324f977e8d01288527719a00a1e6a6e240ef99b92a7fb93f2,9,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,English,No,Yes,,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
75937f68e7a627a2c55ff7be7492e1ddb557de2e0314d0e1819a6eee,7,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,english,none,yes,,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
228cd67ff8b46641decb13b6d3b3fd27406f0b4fcf98b86203842b22,8,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,Portuguese,No,No difficult,HIT easy to follow: really nothing to add.,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
a96203827c73363eb12f86a35c7e648c27f0c42beb08162e6c5e6eca,13,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,English,no,understood,longer timer  I had to rush,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
b62103f9639f5c93ad287c512315aa9b9f8e9929b786c19c9321c5f9,14,[7510 disdain jealousy AF25HAS steal],1,,,,,,,female,English,No,Yes,,7.01,3UV0D2KX1M1DQ6HRZVPHHYW9WMT4F2,0,
a60fb4c64b058cd3558dec66ba518f33c3da03c2b0975c8f7fa72e1b,65,[7510 disdain jealousy AF25HAS steal],1,,,,,,,male,English,No,Yes,No,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
892a2dd6c8532fce37eb0dedd355cb604e2a2acb9c0de9cb19e8c0a7,0,[7510 disdain jealousy AF25HAS split],0,,,,,,,female,english,no,I understood everything.,Thank you and have a great day!,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
9393aba9f2f40c6943c725a39d11ceb4c1139ed15866dbcfad3ac4df,22,[7510 disdain jealousy AF25HAS steal],1,,,,,,,female,English,no,yes  understood them,n/a,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
8546d346628ade130b93064517e850d6b7c5fd74bb659ec2e63f6bc3,28,[7510 disdain jealousy AF25HAS split],0,,,,,,,female,english,no,no,,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
bb888e7c9421b5f5420bece0609f8dafe94a03f426b6e50571f36701,15,[7510 disdain jealousy AF25HAS steal],1,,,,,,,undefined,English,no,I understood all,Good luck  I answered thoughtfully.,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
8eccea3e87522d3b3b445b5381187546861d49fb22b3b2bf004c8718,17,[7510 disdain jealousy AF25HAS steal],1,,,,,,,female,English,no,I understood all of them,No,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
2bd113fb24d48baf716b48b91652c79e28cae9492cc281dc7c6de301,34,[7510 disdain jealousy AF25HAS steal],1,,,,,,,female,English,No,Yes,No,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
01af194207f07d31db102322a0402bffbd288529f6309aeafe7a971a,38,[7510 disdain jealousy AF25HAS split],0,,,,,,,female,spanish,no,yes,no,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
7625e9c17ea65121e278f29e3701f508bd080e4f270669606efe30ff,68,[7510  jealousy AF25HAS split],0,,,,,,,female,english,no,yes,no,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
af7f3a5846a1dfb9f83100c57e8cadb5d292315df556d8cc153f0c5c,37,[7510 disdain jealousy AF25HAS split],0,,,,,,,female,English,no,yes,I-d like to see the outcomes of the video :),7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
3115e13305ab80c943f3886f7525f4e785d627e61076a3d130af4d24,49,[7510 disdain jealousy AF25HAS steal],1,,,,,,,female,english,no,I understood,no,7.02,3XBYQ44Z6PMZIDIC4L0PTUU17Q4TWT,0,
