Variable,Data included in analyses,Data Type,Description
stimulus,Yes,IV,Stimulus Id
randStimulusFace,No,IV,Photo of the player
decisionThis,Yes,IV,Decision of the focal player
decisionOther,Yes,IV,Decision of the opposing player
pot,Yes,IV,Size of the jackpot
respTimer,No,DV,Time participant took in responding to a trial (seconds)
q1responseArray,Yes,DV,Amusement - emotion intensity judgment
q2responseArray,Yes,DV,Annoyance - emotion intensity judgment
q3responseArray,Yes,DV,Confusion - emotion intensity judgment
q4responseArray,Yes,DV,Contempt - emotion intensity judgment
q5responseArray,Yes,DV,Devastation - emotion intensity judgment
q6responseArray,Yes,DV,Disappointment - emotion intensity judgment
q7responseArray,Yes,DV,Disgust - emotion intensity judgment
q8responseArray,Yes,DV,Embarrassment - emotion intensity judgment
q9responseArray,Yes,DV,Envy - emotion intensity judgment
q10responseArray,Yes,DV,Excitement - emotion intensity judgment
q11responseArray,Yes,DV,Fury - emotion intensity judgment
q12responseArray,Yes,DV,Gratitude - emotion intensity judgment
q13responseArray,Yes,DV,Guilt - emotion intensity judgment
q14responseArray,Yes,DV,Joy - emotion intensity judgment
q15responseArray,Yes,DV,Pride - emotion intensity judgment
q16responseArray,Yes,DV,Regret - emotion intensity judgment
q17responseArray,Yes,DV,Relief - emotion intensity judgment
q18responseArray,Yes,DV,Respect - emotion intensity judgment
q19responseArray,Yes,DV,Surprise - emotion intensity judgment
q20responseArray,Yes,DV,Sympathy - emotion intensity judgment
gender,No,Participant-level response - choice from array,«What is your gender?»
subjectId,Yes,Participant-level data - generated by experiment webapp,Participant identifier
Data_Set,Yes,Participant-level data - generated by experiment webapp,Experiment tracking
HITID,Yes,Participant-level data - generated by experiment webapp,mTurk HIT Id
